CFIHOS unique code,coding source code,CFIHOS code equivalent value
CFIHOS-20000001,POSC CAESAR,RDS2227295
CFIHOS-20000002,POSC CAESAR,RDS2226702
CFIHOS-20000003,POSC CAESAR,RDS2227222
CFIHOS-20000004,POSC CAESAR,RDS2227248
CFIHOS-20000005,POSC CAESAR,RDS2226705
CFIHOS-20000006,POSC CAESAR,RDS2227288
CFIHOS-20000007,POSC CAESAR,RDS2226708
CFIHOS-20000008,POSC CAESAR,RDS2227228
CFIHOS-20000009,POSC CAESAR,RDS2227225
CFIHOS-20000010,POSC CAESAR,RDS2227232
CFIHOS-20000011,POSC CAESAR,RDS2227252
CFIHOS-20000012,POSC CAESAR,RDS2226712
CFIHOS-20000013,POSC CAESAR,RDS2226715
CFIHOS-20000014,POSC CAESAR,RDS2226718
CFIHOS-20000015,POSC CAESAR,RDS2227265
CFIHOS-20000016,POSC CAESAR,RDS2227258
CFIHOS-20000017,POSC CAESAR,RDS2227262
CFIHOS-20000018,POSC CAESAR,RDS2226722
CFIHOS-20000019,POSC CAESAR,RDS2226725
CFIHOS-20000020,POSC CAESAR,RDS2226728
CFIHOS-20000021,POSC CAESAR,RDS2226732
CFIHOS-20000022,POSC CAESAR,RDS2226735
CFIHOS-20000023,POSC CAESAR,RDS2226738
CFIHOS-20000024,POSC CAESAR,RDS2224671
CFIHOS-20000025,POSC CAESAR,RDS2227272
CFIHOS-20000026,POSC CAESAR,RDS2227278
CFIHOS-20000027,POSC CAESAR,RDS2227282
CFIHOS-20000028,POSC CAESAR,RDS2226745
CFIHOS-20000029,POSC CAESAR,RDS2227268
CFIHOS-20000030,POSC CAESAR,RDS2227292
CFIHOS-20000031,POSC CAESAR,RDS2226758
CFIHOS-20000032,POSC CAESAR,RDS2226762
CFIHOS-20000033,POSC CAESAR,RDS2224674
CFIHOS-20000043,POSC CAESAR,RDS2224677
CFIHOS-30000001,POSC CAESAR,RDS1324408031
CFIHOS-30000002,STEPLIB,670171
CFIHOS-30000002,POSC CAESAR,RDS16236439
CFIHOS-30000003,ISO 14224:2016,BO
CFIHOS-30000003,POSC CAESAR,RDS6712331
CFIHOS-30000004,ISO 14224:2016,FF
CFIHOS-30000005,ISO 14224:2016,ER
CFIHOS-30000005,POSC CAESAR,RDS621044
CFIHOS-30000005,ISO 14224:2016,SD
CFIHOS-30000006,STEPLIB,40017
CFIHOS-30000006,POSC CAESAR,RDS289304
CFIHOS-30000007,STEPLIB,70037
CFIHOS-30000007,POSC CAESAR,RDS485369
CFIHOS-30000008,POSC CAESAR,RDS286244
CFIHOS-30000010,STEPLIB,71262
CFIHOS-30000010,ISO 14224:2016,IPLS
CFIHOS-30000010,POSC CAESAR,RDS1011374
CFIHOS-30000011,STEPLIB,670024
CFIHOS-30000011,POSC CAESAR,RDS11526424
CFIHOS-30000012,POSC CAESAR,RDS1300003161
CFIHOS-30000013,POSC CAESAR,RDS5799410
CFIHOS-30000014,STEPLIB,40029
CFIHOS-30000016,STEPLIB,10421
CFIHOS-30000016,POSC CAESAR,RDS1324266341
CFIHOS-30000018,ISO 14224:2016,ER
CFIHOS-30000019,STEPLIB,70044
CFIHOS-30000021,POSC CAESAR,RDS1455523211
CFIHOS-30000022,POSC CAESAR,RDS5773641
CFIHOS-30000023,ISO 14224:2016,IPFS
CFIHOS-30000023,POSC CAESAR,RDS613394
CFIHOS-30000026,ISO 14224:2016,DM
CFIHOS-30000026,POSC CAESAR,RDS297764
CFIHOS-30000030,STEPLIB,70095
CFIHOS-30000030,POSC CAESAR,RDS298079
CFIHOS-30000031,ISO 14224:2016,IPFS
CFIHOS-30000034,STEPLIB,71280
CFIHOS-30000035,STEPLIB,71227
CFIHOS-30000037,POSC CAESAR,RDS7038826
CFIHOS-30000038,POSC CAESAR,RDS299519
CFIHOS-30000039,STEPLIB,250150
CFIHOS-30000039,POSC CAESAR,RDS5036404627
CFIHOS-30000040,ISO 14224:2016,IPFS
CFIHOS-30000042,STEPLIB,130111
CFIHOS-30000042,POSC CAESAR,RDS403501741
CFIHOS-30000043,STEPLIB,10264
CFIHOS-30000043,POSC CAESAR,RDS300374
CFIHOS-30000044,STEPLIB,400071
CFIHOS-30000044,ISO 14224:2016,ER
CFIHOS-30000044,POSC CAESAR,RDS300509
CFIHOS-30000045,ISO 14224:2016,ER
CFIHOS-30000046,STEPLIB,71329
CFIHOS-30000046,ISO 14224:2016,TC
CFIHOS-30000047,STEPLIB,40059
CFIHOS-30000048,ISO 14224:2016,FF
CFIHOS-30000048,POSC CAESAR,RDS1298392011
CFIHOS-30000049,POSC CAESAR,RDS414314
CFIHOS-30000050,POSC CAESAR,RDS1066619141
CFIHOS-30000052,ISO 14224:2016,FF
CFIHOS-30000052,POSC CAESAR,RDS301094
CFIHOS-30000053,STEPLIB,100052
CFIHOS-30000053,ISO 14224:2016,HBDF
CFIHOS-30000053,POSC CAESAR,RDS14069845
CFIHOS-30000054,ISO 14224:2016,FF
CFIHOS-30000054,POSC CAESAR,RDS485549
CFIHOS-30000055,ISO 14224:2016,ER
CFIHOS-30000055,POSC CAESAR,RDS648539
CFIHOS-30000056,STEPLIB,10174
CFIHOS-30000056,POSC CAESAR,RDS1325028651
CFIHOS-30000058,STEPLIB,100426
CFIHOS-30000058,POSC CAESAR,RDS1330277141
CFIHOS-30000059,STEPLIB,520376
CFIHOS-30000059,POSC CAESAR,RDS5785782
CFIHOS-30000059,ISO 14224:2016,VEFD
CFIHOS-30000063,POSC CAESAR,RDS7208926
CFIHOS-30000067,STEPLIB,40079
CFIHOS-30000067,POSC CAESAR,RDS487624691
CFIHOS-30000068,STEPLIB,71212
CFIHOS-30000070,STEPLIB,10025
CFIHOS-30000070,POSC CAESAR,RDS6689917
CFIHOS-30000071,STEPLIB,40081
CFIHOS-30000072,POSC CAESAR,RDS5855546
CFIHOS-30000073,STEPLIB,70728
CFIHOS-30000074,POSC CAESAR,RDS850679
CFIHOS-30000075,ISO 14224:2016,SVCY
CFIHOS-30000075,ISO 14224:2016,VESE
CFIHOS-30000078,STEPLIB,10281
CFIHOS-30000078,POSC CAESAR,RDS477314
CFIHOS-30000079,POSC CAESAR,RDS7038956
CFIHOS-30000080,POSC CAESAR,RDS12195576
CFIHOS-30000081,STEPLIB,490307
CFIHOS-30000082,ISO 14224:2016,FGBH
CFIHOS-30000085,STEPLIB,10177
CFIHOS-30000085,POSC CAESAR,RDS302174
CFIHOS-30000086,STEPLIB,10381
CFIHOS-30000086,POSC CAESAR,RDS304514
CFIHOS-30000087,POSC CAESAR,RDS477404
CFIHOS-30000088,STEPLIB,70176
CFIHOS-30000088,POSC CAESAR,RDS880469
CFIHOS-30000089,POSC CAESAR,RDS16760820
CFIHOS-30000090,POSC CAESAR,RDS5800917
CFIHOS-30000094,STEPLIB,100225
CFIHOS-30000094,POSC CAESAR,RDS672897771
CFIHOS-30000098,STEPLIB,70202
CFIHOS-30000098,ISO 14224:2016,IP
CFIHOS-30000099,STEPLIB,70239
CFIHOS-30000099,POSC CAESAR,RDS290249
CFIHOS-30000100,STEPLIB,70562
CFIHOS-30000100,ISO 14224:2016,TC
CFIHOS-30000102,STEPLIB,130959
CFIHOS-30000102,POSC CAESAR,RDS16045622
CFIHOS-30000104,ISO 14224:2016,AI
CFIHOS-30000104,POSC CAESAR,RDS414134
CFIHOS-30000105,STEPLIB,70368
CFIHOS-30000106,ISO 15926 part4,4238
CFIHOS-30000106,STEPLIB,70018
CFIHOS-30000106,POSC CAESAR,RDS624014
CFIHOS-30000110,STEPLIB,131812
CFIHOS-30000110,POSC CAESAR,RDS414584
CFIHOS-30000111,STEPLIB,40095
CFIHOS-30000112,POSC CAESAR,RDS1299805331
CFIHOS-30000114,ISO 14224:2016,ER
CFIHOS-30000114,POSC CAESAR,RDS648359
CFIHOS-30000115,ISO 14224:2016,ER
CFIHOS-30000115,POSC CAESAR,RDS7065039
CFIHOS-30000116,POSC CAESAR,RDS13601560
CFIHOS-30000117,POSC CAESAR,RDS5778110
CFIHOS-30000119,STEPLIB,10162
CFIHOS-30000119,POSC CAESAR,RDS280034
CFIHOS-30000123,STEPLIB,71009
CFIHOS-30000123,POSC CAESAR,RDS5770253
CFIHOS-30000125,STEPLIB,100311
CFIHOS-30000125,POSC CAESAR,RDS477359
CFIHOS-30000126,ISO 14224:2016,IPLS
CFIHOS-30000127,POSC CAESAR,RDS7057701
CFIHOS-30000128,ISO 15926 part4,3057
CFIHOS-30000128,STEPLIB,70247
CFIHOS-30000128,POSC CAESAR,RDS418499
CFIHOS-30000129,STEPLIB,790449
CFIHOS-30000130,STEPLIB,40735
CFIHOS-30000131,STEPLIB,340052
CFIHOS-30000131,POSC CAESAR,RDS11159754
CFIHOS-30000132,STEPLIB,70594
CFIHOS-30000133,ISO 14224:2016,TC
CFIHOS-30000135,STEPLIB,70599
CFIHOS-30000135,ISO 14224:2016,TC
CFIHOS-30000136,STEPLIB,10563
CFIHOS-30000138,STEPLIB,70602
CFIHOS-30000138,POSC CAESAR,RDS6703279
CFIHOS-30000138,ISO 14224:2016,TC
CFIHOS-30000163,STEPLIB,40122
CFIHOS-30000168,STEPLIB,160089
CFIHOS-30000168,POSC CAESAR,RDS1300808591
CFIHOS-30000169,POSC CAESAR,RDS286154
CFIHOS-30000170,ISO 14224:2016,TC
CFIHOS-30000171,STEPLIB,70616
CFIHOS-30000172,POSC CAESAR,RDS13600580
CFIHOS-30000175,STEPLIB,10439
CFIHOS-30000175,POSC CAESAR,RDS414899
CFIHOS-30000176,POSC CAESAR,RDS16556388
CFIHOS-30000177,STEPLIB,10359
CFIHOS-30000177,POSC CAESAR,RDS414854
CFIHOS-30000179,POSC CAESAR,RDS13027840
CFIHOS-30000180,STEPLIB,10522
CFIHOS-30000180,POSC CAESAR,RDS499454
CFIHOS-30000182,STEPLIB,10096
CFIHOS-30000184,STEPLIB,370425
CFIHOS-30000184,ISO 14224:2016,DP
CFIHOS-30000185,ISO 14224:2016,IPFS
CFIHOS-30000189,ISO 14224:2016,CL
CFIHOS-30000189,POSC CAESAR,RDS276749
CFIHOS-30000191,STEPLIB,370455
CFIHOS-30000191,POSC CAESAR,RDS1300133871
CFIHOS-30000191,ISO 14224:2016,TC
CFIHOS-30000199,STEPLIB,70347
CFIHOS-30000199,POSC CAESAR,RDS1030004
CFIHOS-30000200,ISO 14224:2016,IPLS
CFIHOS-30000201,STEPLIB,250350
CFIHOS-30000203,ISO 14224:2016,EC
CFIHOS-30000203,POSC CAESAR,RDS5768615
CFIHOS-30000204,STEPLIB,70349
CFIHOS-30000205,STEPLIB,70645
CFIHOS-30000206,STEPLIB,71038
CFIHOS-30000208,ISO 14224:2016,IPPS
CFIHOS-30000208,POSC CAESAR,RDS818999
CFIHOS-30000210,STEPLIB,40148
CFIHOS-30000218,STEPLIB,40153
CFIHOS-30000221,POSC CAESAR,RDS1318386731
CFIHOS-30000221,ISO 14224:2016,TC
CFIHOS-30000224,STEPLIB,71278
CFIHOS-30000225,ISO 14224:2016,TC
CFIHOS-30000226,STEPLIB,460012
CFIHOS-30000226,ISO 14224:2016,CV
CFIHOS-30000226,POSC CAESAR,RDS11588455
CFIHOS-30000227,STEPLIB,251516
CFIHOS-30000227,POSC CAESAR,RDS891494
CFIHOS-30000228,POSC CAESAR,RDS310679
CFIHOS-30000232,POSC CAESAR,RDS414359
CFIHOS-30000234,STEPLIB,730047
CFIHOS-30000234,POSC CAESAR,RDS337196911
CFIHOS-30000235,ISO 14224:2016,TC
CFIHOS-30000236,STEPLIB,192191
CFIHOS-30000236,ISO 14224:2016,AM
CFIHOS-30000237,POSC CAESAR,RDS310994
CFIHOS-30000239,STEPLIB,160404
CFIHOS-30000239,POSC CAESAR,RDS311129
CFIHOS-30000240,POSC CAESAR,RDS1325065671
CFIHOS-30000241,STEPLIB,910076
CFIHOS-30000242,STEPLIB,71242
CFIHOS-30000243,POSC CAESAR,RDS850724
CFIHOS-30000244,POSC CAESAR,RDS414179
CFIHOS-30000245,STEPLIB,70845
CFIHOS-30000245,POSC CAESAR,RDS6635318
CFIHOS-30000247,POSC CAESAR,RDS13609580
CFIHOS-30000248,STEPLIB,71240
CFIHOS-30000249,POSC CAESAR,RDS1325712361
CFIHOS-30000250,STEPLIB,40178
CFIHOS-30000251,STEPLIB,40179
CFIHOS-30000251,POSC CAESAR,RDS14822899
CFIHOS-30000254,STEPLIB,520048
CFIHOS-30000254,POSC CAESAR,RDS7065489
CFIHOS-30000255,STEPLIB,340084
CFIHOS-30000255,POSC CAESAR,RDS5813402
CFIHOS-30000255,ISO 14224:2016,SW
CFIHOS-30000258,STEPLIB,71234
CFIHOS-30000258,ISO 14224:2016,IPTS
CFIHOS-30000259,ISO 14224:2016,IPFS
CFIHOS-30000260,STEPLIB,70696
CFIHOS-30000260,ISO 14224:2016,IPFS
CFIHOS-30000260,POSC CAESAR,RDS883259
CFIHOS-30000261,STEPLIB,640029
CFIHOS-30000261,POSC CAESAR,RDS8647467
CFIHOS-30000263,STEPLIB,670173
CFIHOS-30000264,ISO 14224:2016,IPFS
CFIHOS-30000264,POSC CAESAR,RDS7496341
CFIHOS-30000265,ISO 14224:2016,IPFS
CFIHOS-30000266,ISO 14224:2016,IPLS
CFIHOS-30000266,POSC CAESAR,RDS11468384
CFIHOS-30000267,POSC CAESAR,RDS13173105
CFIHOS-30000268,STEPLIB,100487
CFIHOS-30000271,STEPLIB,71250
CFIHOS-30000273,POSC CAESAR,RDS317204
CFIHOS-30000275,POSC CAESAR,RDS5775540
CFIHOS-30000276,POSC CAESAR,RDS1287137911
CFIHOS-30000277,STEPLIB,70453
CFIHOS-30000277,ISO 14224:2016,IPFS
CFIHOS-30000277,POSC CAESAR,RDS883799
CFIHOS-30000278,POSC CAESAR,RDS2184647721
CFIHOS-30000280,STEPLIB,370594
CFIHOS-30000280,POSC CAESAR,RDS270764
CFIHOS-30000283,STEPLIB,700111
CFIHOS-30000283,POSC CAESAR,RDS16458543
CFIHOS-30000284,STEPLIB,370630
CFIHOS-30000284,POSC CAESAR,RDS13609850
CFIHOS-30000284,ISO 14224:2016,XT
CFIHOS-30000285,STEPLIB,520876
CFIHOS-30000285,POSC CAESAR,RDS5766125
CFIHOS-30000285,ISO 14224:2016,WI
CFIHOS-30000286,ISO 15926 part4,4239
CFIHOS-30000286,STEPLIB,70470
CFIHOS-30000286,POSC CAESAR,RDS5773048
CFIHOS-30000287,POSC CAESAR,RDS5800064
CFIHOS-30000288,STEPLIB,160145
CFIHOS-30000289,POSC CAESAR,RDS5787614
CFIHOS-30000291,STEPLIB,520785
CFIHOS-30000291,POSC CAESAR,RDS1048579671
CFIHOS-30000292,STEPLIB,70188
CFIHOS-30000292,POSC CAESAR,RDS418499
CFIHOS-30000294,ISO 15926 part4,10237
CFIHOS-30000294,STEPLIB,820055
CFIHOS-30000294,POSC CAESAR,RDS6329711
CFIHOS-30000295,ISO 15926 part4,10433
CFIHOS-30000295,STEPLIB,820118
CFIHOS-30000295,POSC CAESAR,RDS416699
CFIHOS-30000297,ISO 15926 part4,1798
CFIHOS-30000297,STEPLIB,40012
CFIHOS-30000297,POSC CAESAR,RDS369980101
CFIHOS-30000298,ISO 15926 part4,1799
CFIHOS-30000298,STEPLIB,520276
CFIHOS-30000298,POSC CAESAR,RDS13621366
CFIHOS-30000299,ISO 15926 part4,1801
CFIHOS-30000299,POSC CAESAR,RDS16771464
CFIHOS-30000300,ISO 15926 part4,1802
CFIHOS-30000300,STEPLIB,251721
CFIHOS-30000300,POSC CAESAR,RDS903151421
CFIHOS-30000301,ISO 15926 part4,1819
CFIHOS-30000301,STEPLIB,40043
CFIHOS-30000301,POSC CAESAR,RDS1066557881
CFIHOS-30000303,ISO 15926 part4,1822
CFIHOS-30000303,STEPLIB,250175
CFIHOS-30000303,POSC CAESAR,RDS997405351
CFIHOS-30000304,ISO 15926 part4,1828
CFIHOS-30000304,STEPLIB,340160
CFIHOS-30000304,ISO 14224:2016,PI
CFIHOS-30000304,POSC CAESAR,RDS13307654
CFIHOS-30000305,ISO 15926 part4,1831
CFIHOS-30000305,STEPLIB,40080
CFIHOS-30000305,POSC CAESAR,RDS8351535
CFIHOS-30000306,ISO 15926 part4,1832
CFIHOS-30000306,STEPLIB,340039
CFIHOS-30000306,POSC CAESAR,RDS415394
CFIHOS-30000307,ISO 15926 part4,1837
CFIHOS-30000307,STEPLIB,400080
CFIHOS-30000307,POSC CAESAR,RDS11008205
CFIHOS-30000308,STEPLIB,10062
CFIHOS-30000308,ISO 15926 part4,1843
CFIHOS-30000308,ISO 14224:2016,MA
CFIHOS-30000308,POSC CAESAR,RDS903171211
CFIHOS-30000309,STEPLIB,130237
CFIHOS-30000309,ISO 15926 part4,1854
CFIHOS-30000309,POSC CAESAR,RDS6810325
CFIHOS-30000310,ISO 15926 part4,1895
CFIHOS-30000310,STEPLIB,250163
CFIHOS-30000310,POSC CAESAR,RDS7160353
CFIHOS-30000311,ISO 15926 part4,1901
CFIHOS-30000311,POSC CAESAR,RDS8615020
CFIHOS-30000312,STEPLIB,100424
CFIHOS-30000312,ISO 15926 part4,1905
CFIHOS-30000312,ISO 14224:2016,HB
CFIHOS-30000312,POSC CAESAR,RDS13705357
CFIHOS-30000313,ISO 15926 part4,1915
CFIHOS-30000313,POSC CAESAR,RDS208799
CFIHOS-30000314,ISO 15926 part4,1931
CFIHOS-30000314,POSC CAESAR,RDS13417280
CFIHOS-30000315,ISO 15926 part4,2330
CFIHOS-30000315,STEPLIB,520257
CFIHOS-30000315,POSC CAESAR,RDS779711741
CFIHOS-30000316,ISO 15926 part4,2356
CFIHOS-30000316,STEPLIB,70017
CFIHOS-30000316,POSC CAESAR,RDS986894
CFIHOS-30000317,ISO 15926 part4,2357
CFIHOS-30000317,STEPLIB,251474
CFIHOS-30000317,POSC CAESAR,RDS781033661
CFIHOS-30000318,ISO 15926 part4,2389
CFIHOS-30000318,STEPLIB,252312
CFIHOS-30000318,POSC CAESAR,RDS874889
CFIHOS-30000319,ISO 15926 part4,2391
CFIHOS-30000319,STEPLIB,250026
CFIHOS-30000319,POSC CAESAR,RDS874934
CFIHOS-30000320,ISO 15926 part4,2434
CFIHOS-30000320,STEPLIB,251255
CFIHOS-30000320,POSC CAESAR,RDS871559
CFIHOS-30000321,ISO 15926 part4,2499
CFIHOS-30000321,STEPLIB,250049
CFIHOS-30000321,POSC CAESAR,RDS5794602
CFIHOS-30000322,STEPLIB,252064
CFIHOS-30000322,ISO 15926 part4,2554
CFIHOS-30000322,POSC CAESAR,RDS1084454
CFIHOS-30000323,STEPLIB,250093
CFIHOS-30000323,ISO 15926 part4,2577
CFIHOS-30000323,POSC CAESAR,RDS463994
CFIHOS-30000324,ISO 15926 part4,2582
CFIHOS-30000324,STEPLIB,70486
CFIHOS-30000324,POSC CAESAR,RDS6588455
CFIHOS-30000325,ISO 15926 part4,2615
CFIHOS-30000325,STEPLIB,70058
CFIHOS-30000325,POSC CAESAR,RDS6501159
CFIHOS-30000326,STEPLIB,251139
CFIHOS-30000326,ISO 15926 part4,2628
CFIHOS-30000326,POSC CAESAR,RDS464039
CFIHOS-30000327,ISO 15926 part4,2634
CFIHOS-30000327,STEPLIB,70066
CFIHOS-30000327,POSC CAESAR,RDS874124
CFIHOS-30000329,STEPLIB,250119
CFIHOS-30000329,ISO 15926 part4,2657
CFIHOS-30000329,POSC CAESAR,RDS6501264
CFIHOS-30000330,STEPLIB,250526
CFIHOS-30000330,ISO 15926 part4,2695
CFIHOS-30000330,POSC CAESAR,RDS464174
CFIHOS-30000330,ISO 14224:2016,SG
CFIHOS-30000331,STEPLIB,250698
CFIHOS-30000331,ISO 15926 part4,2715
CFIHOS-30000331,POSC CAESAR,RDS7052389
CFIHOS-30000332,STEPLIB,250530
CFIHOS-30000332,ISO 15926 part4,2717
CFIHOS-30000332,POSC CAESAR,RDS7503182
CFIHOS-30000333,STEPLIB,250926
CFIHOS-30000333,ISO 15926 part4,2720
CFIHOS-30000333,POSC CAESAR,RDS916829
CFIHOS-30000334,STEPLIB,252098
CFIHOS-30000334,ISO 15926 part4,2721
CFIHOS-30000334,POSC CAESAR,RDS871694
CFIHOS-30000335,STEPLIB,130512
CFIHOS-30000335,ISO 15926 part4,2726
CFIHOS-30000335,POSC CAESAR,RDS813959
CFIHOS-30000336,ISO 15926 part4,2737
CFIHOS-30000336,STEPLIB,70794
CFIHOS-30000336,POSC CAESAR,RDS430379
CFIHOS-30000337,STEPLIB,250024
CFIHOS-30000337,ISO 15926 part4,2738
CFIHOS-30000337,POSC CAESAR,RDS478124
CFIHOS-30000338,STEPLIB,251556
CFIHOS-30000338,ISO 15926 part4,2744
CFIHOS-30000338,ISO 14224:2016,EG
CFIHOS-30000338,POSC CAESAR,RDS415709
CFIHOS-30000339,STEPLIB,250158
CFIHOS-30000339,ISO 15926 part4,2745
CFIHOS-30000339,ISO 14224:2016,HBEH
CFIHOS-30000339,POSC CAESAR,RDS14070475
CFIHOS-30000340,STEPLIB,250147
CFIHOS-30000340,ISO 15926 part4,2752
CFIHOS-30000340,POSC CAESAR,RDS415124
CFIHOS-30000343,STEPLIB,251144
CFIHOS-30000343,ISO 15926 part4,2781
CFIHOS-30000343,POSC CAESAR,RDS5778899
CFIHOS-30000344,STEPLIB,250165
CFIHOS-30000344,ISO 15926 part4,2791
CFIHOS-30000344,POSC CAESAR,RDS873134
CFIHOS-30000345,STEPLIB,251069
CFIHOS-30000345,ISO 15926 part4,2817
CFIHOS-30000345,ISO 14224:2016,FC
CFIHOS-30000345,POSC CAESAR,RDS17859175
CFIHOS-30000346,STEPLIB,251065
CFIHOS-30000346,ISO 15926 part4,2820
CFIHOS-30000346,POSC CAESAR,RDS952289
CFIHOS-30000347,STEPLIB,251353
CFIHOS-30000347,ISO 15926 part4,2860
CFIHOS-30000347,POSC CAESAR,RDS961694
CFIHOS-30000348,STEPLIB,251186
CFIHOS-30000348,ISO 15926 part4,2881
CFIHOS-30000348,POSC CAESAR,RDS875024
