Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68000101,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-102,NAME PLATE FORMAT DRAWING,name plate drawing,,,equipment,technical information deliverables,"S-560, Clause 6.1",,,CFIHOS-70000445,name plate diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000102,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-103,PSC ASSEMBLY FUNCTIONAL UNIT SUB-ASSEMBLY ARRANGEMENT,assembly diagram,NOTE - To provide individual compartment arrangements if required by the User,,equipment,technical information deliverables,"S-560, Clauses 8.5.2.101 / 8.5.3.101",,,CFIHOS-70000017,assembly diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000103,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-105,PSC-ASSEMBLY INTERNAL INTERCONNECTION DIAGRAM,connection diagram,,,equipment,technical information deliverables,,,,CFIHOS-70000055,connection diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000104,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-106,PSC-ASSEMBLY EXTERNAL TERMINATION DIAGRAM,termination diagram,,,equipment,technical information deliverables,,,,CFIHOS-70000330,termination diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000105,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-108,ELECTRICAL PROTECTION STUDY,safe operation study,,,equipment,technical information deliverables,"S-560, Clause 8.6.2.3 / IEC61349-1 Clause 9.3.4",,,CFIHOS-70000322,safe operation study,,no,no,,,,,,,AFD,yes,
CFIHOS-68000106,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-109,CURRENT AND POTENTIAL (CT/VT) TRANSFORMER CURVES,curves and tables calculations,,,equipment,technical information deliverables,"S-560 Clauses 8.5.3.109, 8.5.3.110",,,CFIHOS-70000449,performance report,,no,no,,,,,,,AFD,yes,
CFIHOS-68000107,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-110,PERFORMANCE DATA,manufacturer datasheet,"NOTE - Electrical characterisitics of protection devices and switching devices included within the PSC-Assembly for the User power systems studies eg short circuit, arc flash and protection relay coordination etc.",,equipment,technical information deliverables,"S-560, Clause 9",,,CFIHOS-70000416,manufacturer datasheet,,no,no,,,,,,,AFD,yes,
CFIHOS-68000108,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-112,PACKING / UNPACKING AND PRESERVATION PROCEDURE,"handling, shipping and storage procedure",NOTE - Intial submission to be provided for project execution planning and then to be included in the final manuals,,equipment,technical information deliverables,,,,CFIHOS-70000154,"handling, shipping, storage procedure",,no,no,,,,,,,AFD,yes,
CFIHOS-68000109,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-113,"LOGISTICS, HANDLING AND SHIPPING PROCEDURE & ASSOCIATED DRAWINGS","handling, shipping and storage procedure",NOTE - Intial submission to be provided for project execution planning and then to be included in the final manuals.,,equipment,technical information deliverables,,,,CFIHOS-70000154,"handling, shipping, storage procedure",,no,no,,,,,,,AFD,yes,
CFIHOS-68000110,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-115,QUALITY MANAGEMENT SYSTEM AND CERTIFICATION,flawless project delivery quality plan,,,equipment,technical information deliverables,,,,CFIHOS-70000451,quality plan,,no,no,,,,,,,AFD,yes,
CFIHOS-68000111,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-116,QUALITY PLAN,quality plan,,,equipment,technical information deliverables,,,,CFIHOS-70000451,quality plan,,no,no,,,,,,,AFD,yes,
CFIHOS-68000112,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-117,INSPECTION AND TEST PLAN (ITP),inspection and test plan,,,equipment,technical information deliverables,,,,CFIHOS-70000180,inspection and test plan,,no,no,,,,,,,AFD,yes,
CFIHOS-68000113,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-118,ROUTINE VERIFICATION AND PERFORMANCE TEST PROCEDURE,test procedure,,,equipment,technical information deliverables,"S-560, Clauses 10, 11",,,CFIHOS-70000332,test procedure,,no,no,,,,,,,AFD,yes,
CFIHOS-68000114,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-119,ECMS SIMULATION TEST PROCEDURE,test procedure,,,equipment,technical information deliverables,"S-560, Clause 11.101",,,CFIHOS-70000332,test procedure,,no,no,,,,,,,AFD,yes,
CFIHOS-68000115,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-120,SITE ACCEPTANCE TEST PROCEDURE,site acceptance test procedure,,,equipment,technical information deliverables,,,,CFIHOS-70000428,site acceptance test procedure,,no,no,,,,,,,AFD,yes,
CFIHOS-68000116,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-122,SPECIAL TOOLS LIST,special tools list,,,equipment,technical information deliverables,,,,CFIHOS-70000454,special tools list,,no,no,,,,,,,AFD,yes,
CFIHOS-68000117,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-123,SPARE PARTS RECOMMENDATIONS,spare part list,,,equipment,technical information deliverables,,,,CFIHOS-70000374,spare part list,,no,no,,,,,,,AFD,yes,
CFIHOS-68000118,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-125,TYPE TEST / APPROVAL CERTIFICATES,type test report,,,equipment,technical information deliverables,,,,CFIHOS-70000245,inspection report,,no,no,,,,,,,AFD,yes,
CFIHOS-68000119,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-127,ROUTINE VERIFICATION TEST REPORT,type test report,NOTE - FAT reports from factory acceptance tests.,,equipment,technical information deliverables,,,,CFIHOS-70000245,inspection report,,no,no,,,,,,,AFD,yes,
CFIHOS-68000120,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-128,ECMS SIMULATION TEST REPORT,type test report,,,equipment,technical information deliverables,,,,CFIHOS-70000245,inspection report,,no,no,,,,,,,AFD,yes,
CFIHOS-68000121,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-129,ROUTINE VERIFICATION (SITE ACCEPTANCE) TEST REPORT,type test report,,,equipment,technical information deliverables,,,,CFIHOS-70000245,inspection report,,no,no,,,,,,,AFD,yes,
CFIHOS-68000122,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-131,INSTRUMENT TEST AND CALIBRATION CERTIFICATE,calibration certificate,NOTE - Manufacturers record of equipment used during routine verification.,,equipment,technical information deliverables,,,,CFIHOS-70000415,calibration certificate,,no,no,,,,,,,AFD,yes,
CFIHOS-68000123,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-132,LIFTING EQUIPMENT TEST CERTIFICATE,lifting equipment test certificate,NOTE - Withdrawable functional unit handling equipment.,,equipment,technical information deliverables,,,,CFIHOS-70000432,lifting certificate,,no,no,,,,,,,AFD,yes,
CFIHOS-68000124,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-133,CERTIFICATE OF CONFORMITY,approval certificate,,,equipment,technical information deliverables,"S-560, Clause 1",,,CFIHOS-70000013,approval certificate,,no,no,,,,,,,AFD,yes,
