CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-00000001,A.2.01,entity:,site,,,A geographical surface that can be identified on a map,,,,,,Owner/Operator,,
CFIHOS-10000240,,attribute:,site,measurement system code,,The default measurement system that is used by a site,,Example : SI,Mandatory,"Text, max 10 characters",measurement system,,,is used by default at
CFIHOS-10000003,,attribute:,site,site code,,A code that uniquely identifies the site,,Example : KAS,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000004,,attribute:,site,site name,,A unique name to identify a geographical location,,Example : Kashagan field,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000031,A.2.02,entity:,plant,,,"An assembly of equipment that perform a physical or chemical process, including production, transportation and storage","A Plant represents the ''high level'' function to be performed, and during the design, a Plant is decomposed in Process Units and Tags.",,,,,Owner/Operator,,
CFIHOS-10000367,,attribute:,plant,industrial complex code,,A code that uniquely identifies the industrial complex,,Example : VSI,Optional,"Text, max 40 characters",industrial complex,,,includes
CFIHOS-10000147,,attribute:,plant,ISO language code,,The language that should be used by default for all exchange of information related to that plant,,Example : EN,Optional,"Text, max 2 characters",iso language,,,is the language used by default for projects at
CFIHOS-10000240,,attribute:,plant,measurement system code,,The default measurement system that is used by a plant,,Example : SI,Optional,"Text, max 10 characters",measurement system,,,is the system used by defaults for projects at
CFIHOS-10000005,,attribute:,plant,plant code,,A code that uniquely identifies the plant,,Example : 6000,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000006,,attribute:,plant,plant name,,The full name of the plant,,Example : Onshore Processing Facility (OPF),Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000003,,attribute:,plant,site code,,A code that uniquely identifies the site,,Example : KAS,Optional,"Text, max 40 characters",site,,,includes
CFIHOS-00000002,A.2.03,entity:,process unit,,,A decomposition of the ''high level'' Facility function into more granular ''sub-functions'',This facility breakdown structure is decided by the process engineer.,,,,,Owner/Operator,,
CFIHOS-10000005,,attribute:,process unit,plant code,,The plant the process unit is part of,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is functionally divided in
CFIHOS-10000157,,attribute:,process unit,process unit code,,A code that uniquely identifies the process unit within the plant,,Example : 36,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000008,,attribute:,process unit,process unit name,,A name describing the function of the process unit,,Example : Inlet compression,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000003,A.2.04,entity:,area,,,A geographical surface occupied by a Plant,A plant area is created to identify the physical location of an equipment within a plant.,,,,,EPC,,
CFIHOS-10000001,,attribute:,area,area code,,A code that uniquely identifies the area within the plant,,Example : Topsides,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000002,,attribute:,area,area name,,A name describing the location of an area within the plant,,Example : Topsides Deck 1,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000005,,attribute:,area,plant code,,The plant the area is part of,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is geographically divided in
CFIHOS-00000026,A.2.05,entity:,construction assembly,,,A grouping of tags intended to be assembled and installed as a whole,Tag modules are created to facilitate fabrication during the project.,,,,,EPC,,
CFIHOS-10000130,,attribute:,construction assembly,construction assembly code,,A code that uniquely identifies the construction assembly at a plant,,Example : CIU,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000131,,attribute:,construction assembly,construction assembly name,,A name describing the purpose of a construction assembly,,Example : Chemical Injection Unit,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000175,,attribute:,construction assembly,parent construction assembly code,,A code that uniquely identifies the parent of a construction assembly at a plant,,Example : CIU,Optional,"Text, max 10 characters",construction assembly,,,is decomposed in
CFIHOS-10000005,,attribute:,construction assembly,plant code,,The plant at which the construction assembly is constructed,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is constructed by
CFIHOS-00000004,A.2.07,entity:,commissioning unit,,,"A grouping of tags (if the commissioning unit is at the lowest level in the structure), or sub-commissioning units, by the commissioning discipline",This grouping allows one to perform commissioning activities.,,,,,EPC,,
CFIHOS-10000009,,attribute:,commissioning unit,commissioning unit code,,A code that uniquely identifies the commissioning unit within a plant,,Example : 980,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000010,,attribute:,commissioning unit,commissioning unit name,,The name by which the commission unit is usually designated,,Example : Plant Production Manifold East,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000176,,attribute:,commissioning unit,parent commissioning unit code,,A code that uniquely identifies the parent of the commission unit at the plant,,Example : 981,Optional,"Text, max 10 characters",commissioning unit,,,is decomposed in
CFIHOS-10000005,,attribute:,commissioning unit,plant code,,The plant the commissioning unit is part of,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is commissioned by
CFIHOS-00000037,A.2.08,entity:,leaf node commissioning unit,,,A commissioning unit that is at the lowest level in the hierarchical structure of commissioning units,,,,,,EPC,,
CFIHOS-10000009,,attribute:,leaf node commissioning unit,commissioning unit code,,A code that uniquely identifies the commissioning unit within a plant,,Example : 980,Identifier,"Text, max 10 characters",commissioning unit,,,is subtype of
CFIHOS-10000005,,attribute:,leaf node commissioning unit,plant code,,The plant the commissioning unit is part of,,Example : 6000,Identifier,"Text, max 40 characters",commissioning unit,,,is subtype of
CFIHOS-00000006,A.2.09,entity:,maintenance unit,,,A grouping of maintenance system by the maintenance discipline. This grouping allows one to perform maintenance activities.,,,,,,Owner/Operator,,
CFIHOS-10000013,,attribute:,maintenance unit,maintenance unit code,,A code that uniquely identifies the maintenance unit at a plant,,Example : A01,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000014,,attribute:,maintenance unit,maintenance unit name,,The name by which the maintenance unit is usually designated,,Example : Oil Wells and Wellhead Facilities,Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000005,,attribute:,maintenance unit,plant code,,The plant at which the maintenance unit is located,,Example : 6000,Identifier,"Text, max 40 characters",plant,,,is maintained by
CFIHOS-00000007,A.2.10,entity:,maintenance system,,,A grouping of tags that can be maintained at the same time,Maintenance systems are defined by the maintenance discipline.,,,,,Owner/Operator,,
CFIHOS-10000017,,attribute:,maintenance system,maintenance system actual startup date,,The date at which the maintenance system has been started for the first time (on a continuous basis),"This information is used by the maintenance discipline to develop maintenance plans, and particularly to determine when the first maintenance activities will have to happen.",Example : 2010-01-01,Optional,Date,,,,
CFIHOS-10000015,,attribute:,maintenance system,maintenance system code,,A code that uniquely identifies the maintenance system within a maintenance unit,,Example : A01.01,Identifier,"Text, max 10 characters",,,,
CFIHOS-10000016,,attribute:,maintenance system,maintenance system name,,The name by which the maintenance system is usually designated,,"Example : Oil Wells, Xmas Trees and Flowlines",Mandatory,"Text, max 100 characters",,,,
CFIHOS-10000013,,attribute:,maintenance system,maintenance unit code,,The maintenance unit to which the maintenance system belongs,,Example : A01,Identifier,"Text, max 10 characters",maintenance unit,,,covers
CFIHOS-10000005,,attribute:,maintenance system,plant code,,The plant at which the maintenance unit is located,,Example : 6000,Identifier,"Text, max 40 characters",maintenance unit,,,covers
