source standard document and data requirement CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,asset type reference,source standard CFIHOS unique code,source standard code,document type CFIHOS unique code,document type name
CFIHOS-68000505,CFIHOS-30000315,accumulator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000506,CFIHOS-30000315,accumulator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000507,CFIHOS-30000315,accumulator,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000508,CFIHOS-30000315,accumulator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000509,CFIHOS-30000315,accumulator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000510,CFIHOS-30000102,agitator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000511,CFIHOS-30000102,agitator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000512,CFIHOS-30000102,agitator,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000513,CFIHOS-30000102,agitator,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000514,CFIHOS-30000382,air conditioner,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000017,assembly diagram
CFIHOS-68000515,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000181,installation manual
CFIHOS-68000516,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000517,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000518,CFIHOS-30000382,air conditioner,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000519,CFIHOS-30000382,air conditioner,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000520,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000521,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000181,installation manual
CFIHOS-68000522,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000523,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000524,CFIHOS-30000104,air handling unit,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000525,CFIHOS-30000104,air handling unit,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000526,CFIHOS-30000319,battery charger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000017,assembly diagram
CFIHOS-68000527,CFIHOS-30000319,battery charger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000528,CFIHOS-30000319,battery charger,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000529,CFIHOS-30000319,battery charger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000530,CFIHOS-30000562,belt conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
