CFIHOS unique code,document type short code,document type name,document type description,document type classification,document type synonym name
CFIHOS-70000004,4301,action list,"A collection of activities tracking responsible parties and status, including but not limited to punch lists, issues lists, and check lists.",DOCT,punch list;issue list;check list
CFIHOS-70000005,6802,active fire protection system specification,"Design data and information that forms the basis of the performance specification for the active fire fighting systems (manual, foam, monitor, deluge/sprinkler systems etc.).",CONT,
CFIHOS-70000007,4302,"alarm, trip setting list","A collection of all instrument set points and/or alarms.  Each instrument having an alarm or trip function is listed. Alarms and settings are given as percentages of transmitter range and in engineering units, together with transmitter range, location of the annunciation point, cabinet, identification and relevant P&IDs/PEFS or logic drawing.",CONT,alarm list
CFIHOS-70000009,2405,anchoring diagram,A diagram showing anchoring and mooring of offshore vessels and structures and the interaction of anchor lines with sub-sea pipelines and structures.,CONT,
CFIHOS-70000010,8268,anchoring study,Includes anchoring of offshore vessels and the interaction of anchor lines with sub-sea pipelines and structures.,CONT,
CFIHOS-70000011,4303,applicable standards list,"A collection of all applicable company standards, international, national and industry codes & standards that are referenced in the company standards and project specific specifications.",CONT,
CFIHOS-70000012,3304,application software,A computer program designed for a specific task or use.,DOCT,
CFIHOS-70000013,1401,approval certificate,A document issued by a recognised independent authority certifying the equipment has been manufactured in accordance with code/standard. Type approval certificates are normally acceptable for proprietary items. CE mark certification or similar equivalent shall be included under this document type.,DOCT,
CFIHOS-70000014,4305,approved vendor list,A collection of approved vendors and suppliers for a particular contract.,CONT,pre qualified manufacturers list;qualified supplier (vendor) list
CFIHOS-70000015,1904,aspect data,"Data which further describes an element of an organisation's activities, products or services that can interact with the environment. Enhances 'aspect register'.",CONT,
CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,DOCT,
CFIHOS-70000018,5705,asset reference plan,"An integrated lifecycle management and development plan for surface and sub-surface facilities, including development scenarios, and phased development plans.",CONT,
CFIHOS-70000019,5706,assurance plan,A plan assuring that standards of quality are being met by systematically monitoring and evaluating the various aspects of deliverables vs standards.  Predecessor to 'document distribution matrix'.,CONT,
