equipment class CFIHOS unique code,equipment class name,property CFIHOS unique code,property name,property relevant for equipment indicator,property relevant for model / part indicator,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000634,calibration range,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000635,fault tolerance,Yes,,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000489,capacity (volume),Yes,,CFIHOS-60001462,cubic metre,CFIHOS-60001439,cubic foot
CFIHOS-30000315,accumulator,CFIHOS-40000494,dry weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000315,accumulator,CFIHOS-40000145,head external corrosion allowance,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000315,accumulator,CFIHOS-40000146,head internal corrosion allowance,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000315,accumulator,CFIHOS-40000496,height,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000315,accumulator,CFIHOS-40000497,hydrostatic test pressure,Yes,,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000315,accumulator,CFIHOS-40000176,Inspection authority,Yes,,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000188,internal maximum allowable working pressure new and cold,Yes,,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000315,accumulator,CFIHOS-40000200,legal registration number,Yes,,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000500,length tan tan,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000315,accumulator,CFIHOS-40000633,lined surface,Yes,,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000232,minimum design metal temperature,Yes,,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000315,accumulator,CFIHOS-40000516,operating weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000315,accumulator,CFIHOS-40000318,post weld heat treatment,Yes,,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000350,shell internal corrosion allowance,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000315,accumulator,CFIHOS-40000353,shell material,Yes,,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000369,shell wall thickness,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000315,accumulator,CFIHOS-40000570,upper limit allowable pressure,Yes,,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000571,upper limit allowable temperature,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000102,agitator,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000029,breaking capacity,Yes,,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000521,rated current,Yes,,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000522,rated frequency,Yes,,CFIHOS-60001443,hertz,CFIHOS-60001443,hertz
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000324,rated impulse voltage,Yes,,CFIHOS-60001456,kilovolt,CFIHOS-60001456,kilovolt
