parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name
other mechanical equipment,CFIHOS-30000001,beam clamp,An equipment item that can be clamped to a beam to provide an attachment.,no,yes,,
vehicle,CFIHOS-30000002,bicycle,"A two or three wheeled vehicle designed to be propelled solely by human power, or a two or three wheeled vehicle that is a power assisted pedal cycle.",no,yes,,
other mechanical equipment,CFIHOS-30000003,blow out preventer,An artefact which is a stack or an assembly of heavy-duty valves intended to be attached to the top of the casing to control the well pressure.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000004,break glass unit,A device for actuating an alarm system that required a person to break the glass cover.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000005,breathing apparatus,A respirator in which air or oxygen is fed to a face mask carried by the wearer via a demand valve.,no,yes,,
infrastructure,CFIHOS-30000006,bridge,Is a support structure intended to span a space.,no,no,,
enclosure,CFIHOS-30000007,cabinet,Is an enclosure intended to hold and protect electrical components.,no,yes,,
enclosure,CFIHOS-30000008,caisson,A protective device used to protect equipment (e.g. riser pipes and submerged pumps) against environmental exposure.,no,no,,
level transmitter,CFIHOS-30000010,capacitance level transmitter,A level transmitter which uses the capacitance of the process material.,no,yes,,
vehicle,CFIHOS-30000011,car,A vehicle of less than 3.5 tonnes for transporting people and small goods.,no,yes,,
IT and telecom equipment,CFIHOS-30000012,cctv camera,Closed-Circuit TeleVision Camera capable of acquiring and delivering to a recording device full-motion video.,no,yes,,
lifting device,CFIHOS-30000013,chain hoist,"A hoist utilizing a chain-rope for suspending load. Chain hoists are delivered as portable units or for permanent mounting, e.g. on a crane. They can be hand operated or air powered, electrical powered or hydraulic powered.",no,yes,,
infrastructure,CFIHOS-30000014,chimney,Is a shaft (civil) intended to transport flue gas to a high location in the atmosphere. It may also be used to supply fresh air via a separate flue.,no,no,,
other mechanical equipment,CFIHOS-30000016,clamp,"A mechanical device made for keeping objects firmly in place or position, temporary or permanently.",no,no,,
other mechanical equipment,CFIHOS-30000017,cleaning machine,Any mechanical or electrical device that transmits or modifies energy to perform or assist a cleaning operation in the performance of human tasks.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000018,climbing net,"A net in an open-meshed fabric twisted, knotted, or woven together at regular intervals made for climbing.",no,yes,,
analysing instrument,CFIHOS-30000019,cold filter plugging point analyser,The temperature at which either the fuel specimen ceases to flow through a filter within 60 seconds or fails to return into the test jar is recorded as the Cold Filter Plugging Point.,no,yes,,
transmitter,CFIHOS-30000021,concentration transmitter,A transmitter measuring how much of a given substance there is mixed with another substance and transmit a signal proportional to the measured level.,no,yes,,
electrical equipment class,CFIHOS-30000022,control module,A module for control functions.,no,yes,,
flow element,CFIHOS-30000023,coriolis mass flow element,An element  located in a flowstream using the Coriolis principle to measure the flow.,no,yes,,
lifting device,CFIHOS-30000024,crane hook block,A block with a hook for use with a crane.,no,yes,,
other mechanical equipment,CFIHOS-30000026,degasser,"A device that removes air or gases (methane, H2S, CO2 and others) from drilling liquids.",no,yes,,
"health, safety and environment equipment class",CFIHOS-30000028,deionizer,A filtration device used to purify tap water. They are normally composed of various resins that replace positive & negatively charged ions.,no,yes,,
transmitter,CFIHOS-30000029,dew point transmitter,A facility for measuring dew point and transmitting a signal representing the measured temperature.,no,yes,,
other mechanical equipment,CFIHOS-30000030,diaphragm seal,A seal between two substance created of a impenetrable membrane.,no,yes,,
flow transmitter,CFIHOS-30000031,differential pressure flow transmitter,A flow transmitter providing an output signal that is proportional to the flow inputs from a differential pressure flow meter.,no,yes,,
level transmitter,CFIHOS-30000034,displacer level transmitter,A level transmitter which uses a displacer as sensing element.,no,yes,,level float transmitter;displacement level transmitter;displacer (float) level transmitter
analysing instrument,CFIHOS-30000035,distillation analyser,An analyser intended to determine the relation between the boiling temperatures and the fraction distilled. It includes the initial boiling point and the final boiling point.,no,yes,,
IT and telecom equipment,CFIHOS-30000036,document scanner,A device used to translate print media into computer language so that a document can be viewed and read later on.,no,yes,,
tool,CFIHOS-30000037,drilling machine,An artefact which is intended to operate and supply power to an artefact (instrument) with an edged or pointed end for making holes in hard substances by revolving or by a succession of blows.,no,yes,,
pump,CFIHOS-30000038,eductor,A form of suction pump; a device using a high pressure jet of water to create partial vacuum at an intake opening to draw liquid from a sump.,no,yes,,
flow element,CFIHOS-30000040,electromagnetic flow element,An element  located in a flowstream measuring the flow using electro-magnetic forces.,no,yes,,
other mechanical equipment,CFIHOS-30000042,exhaust,A piping assembly intended to transport exhaust gas or steam.,no,no,,
other mechanical equipment,CFIHOS-30000043,expansion joint,Flexible joint between two pipes to receive expansion from the pipes.,no,yes,,
