property group allowed for purpose CFIHOS unique code,property grouping or decomposition purpose CFIHOS unique code,property grouping purpose code,property grouping purpose description,source standard CFIHOS unique code,source standard code,property group CFIHOS unique code,property group code,property group description,property to group assignment CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,property sequence number,,,,,,,
CFIHOS-42000407,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000151,S703-FLD-349,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000001,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,
CFIHOS-42000429,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000173,S703-FLD-372,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000002,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000003,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000004,CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,,,,,,,,
CFIHOS-42000487,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000251,S733-FLD-168,Documentation,CFIHOS-44000005,CFIHOS-30000805,alternating current motor,CFIHOS-40001387,adjustable speed drive operation curve requirements,,,,,,,,
CFIHOS-42000453,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000197,S704-FLD-344,Vibration,CFIHOS-44000006,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,,,,,,,,
CFIHOS-42000480,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000224,S704-FLD-377,Vibration,CFIHOS-44000007,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,,,,,,,,
CFIHOS-42000400,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000144,S703-FLD-341,Bearings,CFIHOS-44000008,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,
CFIHOS-42000421,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000165,S703-FLD-364,Bearings,CFIHOS-44000009,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000010,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000011,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,
CFIHOS-42000498,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000245,S733-FLD-94,Bearings,CFIHOS-44000012,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,
CFIHOS-42000498,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000245,S733-FLD-94,Bearings,CFIHOS-44000013,CFIHOS-30000805,alternating current motor,CFIHOS-40001372,bearing operating life,,,,,,,,
CFIHOS-42000455,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000199,S704-FLD-346,Temperature detection,CFIHOS-44000014,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,,,,,,,,
CFIHOS-42000482,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000226,S704-FLD-379,Temperature detection,CFIHOS-44000015,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,,,,,,,,
CFIHOS-42000501,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000248,S733-FLD-98,Instrumentation,CFIHOS-44000016,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,,,,,,,,
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000017,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,,,,,,,,
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000018,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,,,,,,,,
CFIHOS-42000443,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000187,S704-FLD-332,Line conductor terminal box,CFIHOS-44000019,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,,,,,,,,
CFIHOS-42000470,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000214,S704-FLD-365,Line conductor terminal box,CFIHOS-44000020,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,,,,,,,,
