CFIHOS unique code,property name,property definition,property data type,property data type length,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,property picklist name CFIHOS unique code,property picklist name,property existence reason description,property synonym name
CFIHOS-40000001,actual length,The actual length of the functional or physical object.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000002,actuator motion,A general description of the mechanical operation of the actuator. For example is it linear or rotary? Electric or hydraulic?,Text,40,,,CFIHOS-50000001,actuator motion,,
CFIHOS-40000003,actuator seal material,The material of construction of the piston 'O' ring seal of an actuator.,Text,100,,,CFIHOS-50000002,actuator seal material,,
CFIHOS-40000004,adjustment ring material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000005,air cooler type,Is a subtype of air cooler,Text,40,,,CFIHOS-50000003,air cooler type,,
CFIHOS-40000006,air preheater type,Is a subtype of preheater,Text,40,,,CFIHOS-50000083,preheater type,,
CFIHOS-40000007,anti corrosion coating thickness,The total anti corrosion coating system thickness.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000008,anti corrosion coating type,The type of anti corrosion coating system.,Text,40,,,,,,
CFIHOS-40000009,ATEX category,Specify in which category the physical object is divided in accordance with the directive 94/9/EC.,Text,40,,,CFIHOS-50000005,ATEX category,,
CFIHOS-40000010,ATEX explosive atmosphere,Specify in which explosive atmosphere the physical object is divided in accordance with the directive 94/9/EC.,Text,40,,,CFIHOS-50000006,ATEX explosive atmosphere,,
CFIHOS-40000011,ATEX group,Specify in which group the physical object is divided in accordance with the directive 94/9/EC.,Text,40,,,CFIHOS-50000007,ATEX group,,
CFIHOS-40000012,autonomy time,The duration   of time during which a functional or physical object is designed to deliver its rated output under specified conditions.,Number,,CFIHOS-45000031,TIME,,,,
CFIHOS-40000013,bare tube outside surface area,Is an area located on a surface.,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000014,basic impulse level,The dielectric insulation gradient of a material tested to withstand the defined voltage stresses.,Number,,CFIHOS-45000038,VOLTAG,,,,
CFIHOS-40000015,battery construction,Describe whether the battery is a vented construction or sealed.,Text,40,,,CFIHOS-50000008,battery construction,,
CFIHOS-40000016,bellows material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000017,body material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000018,body material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000019,boiler type,Is a subtype of boiler,Text,40,,,CFIHOS-50000009,boiler type,,
CFIHOS-40000020,bottom plates corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000021,bottom plates material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000022,bottom section inside diameter,Is an inside diameter of an item that is the prime inside diameter in case the item has more than one inside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000023,bottom section length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000024,bottom section lower limit operating pressure,Is a pressure that is a minimum possible or allowed or occurring or required.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000025,bottom section lower limit operating temperature,The temperature which is the lowest temperature at  which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000026,bottom section normal operating pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000027,bottom section normal operating temperature,The temperature at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000028,bottom section upper limit operating temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000029,breaking capacity,The current that a fuse or circuit breaker is able to interrupt without being destroyed or causing an electric arc with unacceptable duration.,Number,,CFIHOS-45000007,ECURR,,,,
CFIHOS-40000030,buried,"Is the functional item buried, yes/no?",Boolean,3,,,,,,
CFIHOS-40000031,burner type,Is a subtype of burner,Text,40,,,CFIHOS-50000010,burner type,,
CFIHOS-40000032,cable cross sectional area,The cross sectional area of the cable cores,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000033,cable specification,"The designation which defines the specification of the cable in accordance with national or international standards. (Example on cable specification according to Cenelec HD 361: H07 VV-F 10x1,5)",Text,40,,,,,,
CFIHOS-40000034,cable type,The code describing the construction of the cable.,Text,40,,,CFIHOS-50000145,cable type,,
CFIHOS-40000035,capacitor bank cooling method,The main method of cooling of a capacitor bank.,Text,40,,,CFIHOS-50000011,capacitor bank cooling method,,
CFIHOS-40000036,capacity control range,Specify the reduced capacity in percent.,Number,,CFIHOS-45000044,VPROPO,,,,
CFIHOS-40000037,channel corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000038,channel material,The material from which the channel is constructed.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000039,chemical cleaning required,Specify if the functional or physical object requires chemical cleaning.,Boolean,3,,,,,,
CFIHOS-40000040,chloride concentration,Specifies the level of chloride in the liquid.,Number,,CFIHOS-45000015,MPROPO,,,,
CFIHOS-40000041,coating specification,Is a material specification for a coating.,Text,40,,,CFIHOS-50000013,coating material,,
CFIHOS-40000042,coil normal operating pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000043,coil normal operating temperature,The temperature at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000044,coil upper limit design pressure,The highest pressure at which a functional or physical object is designed for.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000045,cold differential test pressure,Is the pressure at which the pressure relief valve is adjusted to open on the bench. It includes corrections for back pressure and/or temperature,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000046,cold side fluid name,The name of the product in liquid or gas phase.,Text,100,,,CFIHOS-50000051,fluid,,
CFIHOS-40000047,cold side maximum allowable working pressure new and cold,Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000048,cold side minimum design metal temperature,"Is a temperature that is the lowest at which a significant load can be applied. Typically applied to a pressure vessel. Defined by the ASME Code, Section VIII, Division 1, paragraph UG-20 (see Section 3).",Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000049,cold side normal operating inlet pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000050,cold side normal operating inlet temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
