CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,
CFIHOS-90000001,ANSI/ISA-75.05.01-2019,Control Valve Terminology,no,
CFIHOS-90000002,ANSI/ISA-84.00.01-2004 Part 1,"Functional Safety: Safety Instrumented Systems For The Process Industry Sector - Part 1: Framework, Definitions, System, Hardware And Software Requirements",no,
CFIHOS-90000003,API Spec 17D:2011,Design and Operation of Subsea Production Systems—Subsea Wellhead and Tree Equipment,yes,
CFIHOS-90000004,API Spec 17J:2014,Specification for Unbonded Flexible Pipe,no,
CFIHOS-90000005,API Spec 17K:2017,Specification for Bonded Flexible Pipe,no,
CFIHOS-90000006,API Spec 2C:2020,Offshore Pedestal-Mounted Cranes,yes,
CFIHOS-90000007,API Spec 5L:2018,Line Pipe,yes,
CFIHOS-90000008,API Spec 6D:2014,Specification for Pipeline and Piping Valves,no,
CFIHOS-90000009,API Std 17F:2017,Standard for Subsea Production Control Systems,no,
CFIHOS-90000010,API Std 526:2017,Flanged Steel Pressure-Relief Valves,no,
CFIHOS-90000011,API Std 546:2008,Brushless Synchronous Machines—500 kVA and Larger,no,
CFIHOS-90000012,API Std 600:2015,"Steel Gate Valves—Flanged and Butt-Welding Ends, Bolted Bonnets",yes,
CFIHOS-90000013,API Std 603:2018,"Corrosion-Resistant, Bolted Bonnet Gate Valves—Flanged and Butt-Welding Ends",yes,
CFIHOS-90000014,API Std 609:2016,"Butterfly Valves: Double-Flanged, Lug- and Wafer-Type",no,
CFIHOS-90000015,API Std 610:2010,"Centrifugal Pumps for Petroleum, Petrochemical and Natural Gas Industries",no,
CFIHOS-90000016,API Std 611:2008,"General Purpose Steam Turbines for Petroleum, Chemical, and Gas Industry Services",yes,
CFIHOS-90000017,API Std 612:2014,"Petroleum Petrochemical, and Natural Gas Industries—Steam Turbines—Special-Purpose Applications",yes,
CFIHOS-90000018,API Std 613:2007,"Special Purpose Gear Units for Petroleum, Chemical and Gas Industry Services",yes,
CFIHOS-90000019,API Std 616:2011,"Gas Turbines for the Petroleum, Chemical, and Gas Industry Services",yes,
CFIHOS-90000020,API Std 617-1:2010,Axial and Centrifugal Compressors and Expander-Compressors - Part 1,yes,
CFIHOS-90000021,API Std 617-2:2010,Axial and Centrifugal Compressors and Expander-Compressors - Part 2,yes,
CFIHOS-90000022,API Std 617:2014,Axial and Centrifugal Compressors and Expander-Compressors,no,
CFIHOS-90000023,API Std 618:2007,"Reciprocating Compressors for Petroleum, Chemical and Gas Industry Services",yes,
CFIHOS-90000024,API Std 619:2010,"Rotary-Type Positive Displacement Compressors for Petroleum, Petrochemical and Natural Gas Industries",yes,
CFIHOS-90000025,API Std 650:2012,Welded Tanks for Oil Storage,yes,
CFIHOS-90000026,API Std 660:2015,Shell-and-Tube Heat Exchangers,yes,
CFIHOS-90000027,API Std 670:2014,Machinery Protection Systems,yes,
CFIHOS-90000028,API Std 672:2004,"Packaged, Integrally Geared Centrifugal Air Compressors for Petroleum, Chemical, and Gas Industry Services",yes,
CFIHOS-90000029,API Std 673:2014,"Centrifugal Fans for Petroleum, Chemical, and Gas Industry Services",yes,
CFIHOS-90000030,API Std 674:2010,Positive Displacement Pumps—Reciprocating,yes,
CFIHOS-90000031,API Std 675:2019,"Positive Displacement Pumps—Controlled Volume for Petroleum, Chemical, and Gas Industry Services",yes,
CFIHOS-90000032,API Std 676:2009,Positive Displacement Pumps—Rotary,yes,
CFIHOS-90000033,API Std 677:2006,"General-Purpose Gear Units for Petroleum, Chemical and Gas Industry Services",yes,
CFIHOS-90000034,API Std 681:1996,"Liquid Ring Vacuum Pumps and Compressors for Petroleum, Chemical, and Gas Industry Services",yes,
CFIHOS-90000035,ASME B31.3 - 2020,Process Piping,no,
CFIHOS-90000036,ASME BPVC Section VIII,Rules for Construction of Pressure Vessels,no,
CFIHOS-90000037,EN 13852-1:2013,Cranes. Offshore cranes. General-purpose offshore cranes,yes,
CFIHOS-90000038,EN 14015:2004,"Specification for the design and manufacture of site built, vertical, cylindrical, flat-bottomed, above ground, welded, steel tanks for the storage of liquids at ambient temperature and above",yes,
CFIHOS-90000039,FCI 70-2-2021,Control Valve Seat Leakage,no,
CFIHOS-90000040,IEC 60034-1:2017,Rotating electrical machines – Part 1: Rating and performance,yes,
CFIHOS-90000041,IEC 60269-1:2014,Low-voltage fuses – Part 1: General requirements,yes,
CFIHOS-90000042,IEC 60282-1:2009,High-voltage fuses - Part 1: Current-limiting fuses,yes,
CFIHOS-90000043,IEC 60282-1:2020,High-voltage fuses – Part 1: Current-limiting fuses,yes,
CFIHOS-90000044,IEC 60529:2013,DEGREES OF PROTECTION PROVIDED BY ENCLOSURES (IP CODE),no,
CFIHOS-90000045,IEC 60534-4:2006,Industrial-Process Control Valves - Part 4: Inspection and Routine Testing,no,
CFIHOS-90000046,IEC 60534-7:2010,Industrial-process control valves – Part 7: Control valve data sheet,no,
CFIHOS-90000047,IEC 60537:1976 Withdrawn,Frequency weighting for the measurement of aircraft noise (D-weighting),yes,
CFIHOS-90000048,IEC 60947-2:2006,Low voltage Equipment - Part 2: Circuit-breakers,yes,
CFIHOS-90000049,IEC 61439-1:2020,Low-voltage switchgear and controlgear assemblies – Part 1: General rules,yes,
CFIHOS-90000050,IEC 61439-2:2020,Low-voltage switchgear and controlgear assemblies – Part 2: Power switchgear and controlgear assemblies,yes,
CFIHOS-90000051,IEC 62271-100:2017,High-voltage switchgear and controlgear – Part 100: Alternating-current circuit-breakers,yes,
CFIHOS-90000052,IEC 62271-200:2011,HIGH-VOLTAGE SWITCHGEAR AND CONTROLGEAR - PART 200: AC METAL-ENCLOSED SWITCHGEAR AND CONTROLGEAR FOR RATED VOLTAGES ABOVE 1 KV AND UP TO AND INCLUDING 52 KV,yes,
CFIHOS-90000053,IOGP S-560:2016,Low-Voltage Switchgear & Controlgear to IEC 61439 – 1&2,yes,
CFIHOS-90000054,IOGP S-561:2018,Subsea Trees to API Spec 17D,yes,
CFIHOS-90000055,IOGP S-562:2019,Valve – Ball to API Spec 6D,yes,
CFIHOS-90000056,IOGP S-563:2018,Materials for Piping and Valve Components - Material Data Sheets,yes,
CFIHOS-90000057,IOGP S-611:2019,Valve – Gate to API Spec 600 and API Spec 603,yes,
CFIHOS-90000058,IOGP S-612:2018,Air Compressor – Integrally Geared Centrifugal to API Std 672,yes,
CFIHOS-90000059,IOGP S-613:2018,Air Dryer Package,yes,
CFIHOS-90000060,IOGP S-614:2018,Heat Exchangers – Shell and Tube to API Std 660,yes,
CFIHOS-90000061,IOGP S-615:2019,Pumps – Centrifugal to API Std 610,yes,
CFIHOS-90000062,IOGP S-616:2019,Line Pipe to API Spec 5L and ISO 3183,yes,
CFIHOS-90000063,IOGP S-617:2018,Cranes – Offshore General Purpose to EN 13852-1,yes,
CFIHOS-90000064,IOGP S-618:2018,Cranes – Offshore Pedestal Mounted to API Spec 2C,yes,
CFIHOS-90000065,IOGP S-619:2018,"Pressure Vessels – Unfired, Fusion Welded",yes,
CFIHOS-90000066,IOGP S-620:2018,High-voltage Switchgear & Controlgear to IEC 62271-200,yes,
CFIHOS-90000067,IOGP S-700:2020,Special Purpose Couplings,yes,
CFIHOS-90000068,IOGP S-703:2020,Low Voltage Motors – Specification,yes,
CFIHOS-90000069,IOGP S-705:2020,Welding of Pressure Containing Equipment & Piping,yes,
CFIHOS-90000070,IOGP S-708:2020,Subsea Pipeline Valves,yes,
CFIHOS-90000071,IOGP S-710:2020,Air-cooled Heat Exchangers,yes,
CFIHOS-90000072,IOGP S-712:2020,General Purpose Gear Units,yes,
CFIHOS-90000073,IOGP S-713:2020,Special Purpose Gear Units,yes,
CFIHOS-90000074,IOGP S-715:2020,"Coating & Painting for Offshore, Marine Coastal & Subsea Environments",yes,
CFIHOS-90000075,IOGP S-717:2020,Noise Emitting Equipment,yes,
CFIHOS-90000076,IOGP S-719:2020,Water Fire Mist Protection Systems,yes,
CFIHOS-90000077,ISA-TR20.00.01-2007,Specification Forms for Process Measurement and Control Instruments Part 1: General Considerations,no,
CFIHOS-90000078,ISA-TR84.00.03-2019,Automation Asset Integrity of Safety Instrumented Systems (SIS),no,
