tag class CFIHOS unique code,tag class name,equipment class CFIHOS unique code,equipment class name,tag or equipment class relationship reason for mapping
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-30000395,absolute pressure transmitter,
CFIHOS-30000800,absorber column,CFIHOS-30000800,absorber column,
CFIHOS-30000315,accumulator,CFIHOS-30000315,accumulator,
CFIHOS-30000878,acoustic enclosure,CFIHOS-30000878,acoustic enclosure,
CFIHOS-30000878,acoustic enclosure,CFIHOS-30000537,hood,
CFIHOS-30000607,actuator,CFIHOS-30000336,electric actuator,
CFIHOS-30000607,actuator,CFIHOS-30000433,hydraulic actuator,
CFIHOS-30000607,actuator,CFIHOS-30000443,pneumatic actuator,
CFIHOS-30000801,adaptor connector,CFIHOS-30000801,adaptor connector,
CFIHOS-30000802,adsorber column,CFIHOS-30000802,adsorber column,
CFIHOS-30000515,aerator,CFIHOS-30000515,aerator,
CFIHOS-30000102,agitator,CFIHOS-30000102,agitator,
CFIHOS-30000103,air balancing unit,CFIHOS-30000103,air balancing unit,
CFIHOS-30000803,air circuit-breaker,CFIHOS-30000803,air circuit-breaker,
CFIHOS-30000382,air conditioner,CFIHOS-30000382,air conditioner,
CFIHOS-30000382,air conditioner,CFIHOS-30000891,evaporator,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-30000383,air cooled heat exchanger,
CFIHOS-30000104,air handling unit,CFIHOS-30000104,air handling unit,
CFIHOS-30000879,air trap,CFIHOS-30000879,air trap,
CFIHOS-30000880,aircraft warning light,CFIHOS-30000922,strobe light,
CFIHOS-30000747,alarm unit,CFIHOS-30000747,alarm unit,
CFIHOS-30000804,alternating current generator,CFIHOS-30000804,alternating current generator,
CFIHOS-30000805,alternating current motor,CFIHOS-30000805,alternating current motor,
CFIHOS-30000316,amplifier,CFIHOS-30000316,amplifier,
CFIHOS-30000105,analyser element,CFIHOS-30000105,analyser element,
CFIHOS-30000510,anchor,CFIHOS-30000510,anchor,
CFIHOS-30000286,anemometer,CFIHOS-30000286,anemometer,
CFIHOS-30000317,anode,CFIHOS-30000317,anode,
CFIHOS-30000397,antenna,CFIHOS-30000397,antenna,
CFIHOS-30000511,arrestor,CFIHOS-30000511,arrestor,
CFIHOS-30000108,attenuator,CFIHOS-30000108,attenuator,
CFIHOS-30001010,automatic circuit recloser,CFIHOS-30001010,automatic circuit recloser,Required by owner-operators
CFIHOS-30000608,automatic identification system,CFIHOS-30000608,automatic identification system,
CFIHOS-30000731,automatic switching equipment,CFIHOS-30000731,automatic switching equipment,
CFIHOS-30000516,axial compressor,CFIHOS-30000516,axial compressor,
CFIHOS-30000398,axial displacement element,CFIHOS-30000398,axial displacement element,
CFIHOS-30000109,axial displacement transmitter,CFIHOS-30000109,axial displacement transmitter,
CFIHOS-30000110,balancing damper,CFIHOS-30000110,balancing damper,
CFIHOS-30000806,ball control valve,CFIHOS-30000806,ball control valve,
CFIHOS-30000807,ball valve,CFIHOS-30000807,ball valve,
CFIHOS-30000958,balustrade,CFIHOS-30000958,balustrade,
CFIHOS-30000297,basin,CFIHOS-30000297,basin,
CFIHOS-30000298,basket,CFIHOS-30000298,basket,
CFIHOS-30000318,battery back-up power supply unit,CFIHOS-30000318,battery back-up power supply unit,
CFIHOS-30000319,battery charger,CFIHOS-30000319,battery charger,
CFIHOS-30000959,bay,CFIHOS-30000959,bay,
CFIHOS-30000571,beam,CFIHOS-30000571,beam,
CFIHOS-30000001,beam clamp,CFIHOS-30000001,beam clamp,
CFIHOS-30001026,beam pumpjack,CFIHOS-30001026,beam pumpjack,Required by owner-operators
CFIHOS-30000517,bearing,CFIHOS-30000517,bearing,
CFIHOS-30000399,bell,CFIHOS-30000399,bell,
CFIHOS-30000668,bell nipple,CFIHOS-30000496,pipe,
CFIHOS-30000562,belt conveyor,CFIHOS-30000562,belt conveyor,
CFIHOS-30000002,bicycle,CFIHOS-30000002,bicycle,
CFIHOS-30000609,blast rated wall,CFIHOS-30000609,blast rated wall,
CFIHOS-30000808,block and bleed valve,CFIHOS-30000808,block and bleed valve,
CFIHOS-30000635,blow down valve,CFIHOS-30000806,ball control valve,
CFIHOS-30000635,blow down valve,CFIHOS-30000809,butterfly control valve,
CFIHOS-30000635,blow down valve,CFIHOS-30000837,gate control valve,
CFIHOS-30000635,blow down valve,CFIHOS-30000839,globe control valve,
CFIHOS-30000635,blow down valve,CFIHOS-30000859,plug control valve,
CFIHOS-30000003,blow out preventer,CFIHOS-30000003,blow out preventer,
CFIHOS-30000518,blower,CFIHOS-30000518,blower,
CFIHOS-30001012,boat,CFIHOS-30001012,boat,Required by owner-operators
CFIHOS-30000384,boiler,CFIHOS-30000384,boiler,
CFIHOS-30000519,brake,CFIHOS-30000519,brake,
CFIHOS-30000004,break glass unit,CFIHOS-30000004,break glass unit,
CFIHOS-30000005,breathing apparatus,CFIHOS-30000005,breathing apparatus,
CFIHOS-30000006,bridge,CFIHOS-30000006,bridge,
CFIHOS-30000936,bridge bearing,CFIHOS-30000936,bridge bearing,
CFIHOS-30000610,buckle initiator,CFIHOS-30000610,buckle initiator,
CFIHOS-30000960,buffers,CFIHOS-30000960,buffers,
CFIHOS-30000611,bund wall,CFIHOS-30000611,bund wall,
CFIHOS-30000595,buoy,CFIHOS-30000595,buoy,
CFIHOS-30000612,bus duct,CFIHOS-30000612,bus duct,
CFIHOS-30000320,busbar,CFIHOS-30000320,busbar,
CFIHOS-30000809,butterfly control valve,CFIHOS-30000809,butterfly control valve,
CFIHOS-30000810,butterfly valve,CFIHOS-30000810,butterfly valve,
CFIHOS-30000007,cabinet,CFIHOS-30000007,cabinet,
CFIHOS-30000321,cable reel,CFIHOS-30000321,cable reel,
CFIHOS-30000937,cable tray,CFIHOS-30000937,cable tray,
