tag class CFIHOS unique code,tag class name,property CFIHOS unique code,property name,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000395,absolute pressure transmitter,CFIHOS-40000579,safety integrity level,,,,
CFIHOS-30000800,absorber column,CFIHOS-40000026,bottom section normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000800,absorber column,CFIHOS-40000027,bottom section normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000800,absorber column,CFIHOS-40000487,design specification,,,,
CFIHOS-30000800,absorber column,CFIHOS-40000613,external coating specification,,,,
CFIHOS-30000800,absorber column,CFIHOS-40000114,external insulation type,,,,
CFIHOS-30000800,absorber column,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000800,absorber column,CFIHOS-40000178,insulation code,,,,
CFIHOS-30000800,absorber column,CFIHOS-40000184,intermediate section normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000800,absorber column,CFIHOS-40000185,intermediate section normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000800,absorber column,CFIHOS-40000420,top section normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000800,absorber column,CFIHOS-40000421,top section normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000800,absorber column,CFIHOS-40000535,upper limit design pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000800,absorber column,CFIHOS-40000536,upper limit design temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000315,accumulator,CFIHOS-40000487,design specification,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000613,external coating specification,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000114,external insulation type,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000132,fluid name,,,,
