CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,source standard code CFIHOS unique code,source standard code,source standard section,property name in source standard,property sequence number
CFIHOS-95000001,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-198,Equipment protection level,
CFIHOS-95000002,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-198,Equipment protection level,
CFIHOS-95000003,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-591,Equipment protection level,
CFIHOS-95000004,CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-556,Equipment protection level,
CFIHOS-95000005,CFIHOS-30000805,alternating current motor,CFIHOS-40001387,adjustable speed drive operation curve requirements,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-172,ASD operation curve,
CFIHOS-95000006,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-572,Bearing housing vibration limits,
CFIHOS-95000007,CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-537,Bearing housing vibration limits,
CFIHOS-95000008,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-174,Lubrication specification,
CFIHOS-95000009,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-174,Lubrication specification,
CFIHOS-95000010,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-546,Lubrication specification,
CFIHOS-95000011,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-512,Lubrication specification,
CFIHOS-95000012,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-130,Oil mist lubricant,
CFIHOS-95000013,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-76,Recommended lubricant,
