tag or equipment class CFIHOS unique code,tag or equipment class,source standard CFIHOS unique code,source standard code
CFIHOS-30001014,pinch control valve,CFIHOS-90000183,ANSI/ISA-75.10.01-2013
CFIHOS-30001021,pinch valve,CFIHOS-90000183,ANSI/ISA-75.10.01-2013
CFIHOS-30001031,underground storage tank,CFIHOS-90000204,API Recommended Practice 1631:1997
CFIHOS-30001023,pin-actuated pressure relief valve,CFIHOS-90000196,API Recommended Practice 576:2017
CFIHOS-30001026,beam pumpjack,CFIHOS-90000187,API Spec 11E:2022
CFIHOS-30001020,long-stroke pumpjack,CFIHOS-90000187,API Spec 11E:2022
CFIHOS-30001011,pumpjack,CFIHOS-90000187,API Spec 11E:2022
CFIHOS-30001019,heater treater,CFIHOS-90000193,API Spec 12L:2008
CFIHOS-30000806,ball control valve,CFIHOS-90000008,API Spec 6D:2014
CFIHOS-30000807,ball valve,CFIHOS-90000008,API Spec 6D:2014
CFIHOS-30001029,tote tank,CFIHOS-90000202,API Std 2CCU:2017
CFIHOS-30000838,gate valve,CFIHOS-90000012,API Std 600:2015
CFIHOS-30000837,gate control valve,CFIHOS-90000013,API Std 603:2018
CFIHOS-30000521,centrifugal pump,CFIHOS-90000015,API Std 610:2010
CFIHOS-30000556,steam turbine,CFIHOS-90000016,API Std 611:2008
CFIHOS-30000556,steam turbine,CFIHOS-90000017,API Std 612:2014
CFIHOS-30001030,trip and throttle valve,CFIHOS-90000203,API Std 612:2020
CFIHOS-30000535,gear box,CFIHOS-90000018,API Std 613:2007
CFIHOS-30000534,gas turbine,CFIHOS-90000019,API Std 616:2011
CFIHOS-30000516,axial compressor,CFIHOS-90000020,API Std 617-1:2010
CFIHOS-30000520,centrifugal compressor,CFIHOS-90000020,API Std 617-1:2010
CFIHOS-30000516,axial compressor,CFIHOS-90000021,API Std 617-2:2010
CFIHOS-30000520,centrifugal compressor,CFIHOS-90000021,API Std 617-2:2010
CFIHOS-30000593,tank,CFIHOS-90000025,API Std 650:2012
CFIHOS-30000755,shell and tube heat exchanger,CFIHOS-90000026,API Std 660:2015
CFIHOS-30001017,double pipe heat exchanger,CFIHOS-90000190,API Std 663:2014
CFIHOS-30001024,plate fin heat exchanger,CFIHOS-90000197,API Std 668:2018
CFIHOS-30000189,process data acquisition and control,CFIHOS-90000027,API Std 670:2014
CFIHOS-30000520,centrifugal compressor,CFIHOS-90000028,API Std 672:2004
CFIHOS-30000532,fan,CFIHOS-90000029,API Std 673:2014
CFIHOS-30000535,gear box,CFIHOS-90000033,API Std 677:2006
CFIHOS-30001032,vacuum pump,CFIHOS-90000205,API Std 681:2021
CFIHOS-30001015,diaphragm tank,CFIHOS-90000188,ASME BPVC Section VIII-1
CFIHOS-30001028,thermoelectric generator,CFIHOS-90000200,ASME PTC 53-2022
CFIHOS-30000995,shield door,CFIHOS-90000158,BS 436-5:1997
CFIHOS-30000995,shield door,CFIHOS-90000159,BS 5950-1:2000
CFIHOS-30000995,shield door,CFIHOS-90000160,BS 7608+A1:2015
CFIHOS-30001022,piling,CFIHOS-90000189,BS 8004:2015+A1:2020
CFIHOS-30000315,accumulator,CFIHOS-90000177,CFIHOS
CFIHOS-30000515,aerator,CFIHOS-90000177,CFIHOS
CFIHOS-30000102,agitator,CFIHOS-90000177,CFIHOS
CFIHOS-30000103,air balancing unit,CFIHOS-90000177,CFIHOS
